,ticker,open,close,high,low,volume,turnover,avg
0,2020-02-20 09:30,15.27,15.27,15.27,15.27,3005,4588635.00,15.270
1,2020-02-20 09:31,15.28,15.33,15.33,15.27,12790,19562910.00,15.291
2,2020-02-20 09:32,15.33,15.29,15.34,15.29,8021,12284167.00,15.299
3,2020-02-20 09:33,15.28,15.27,15.31,15.27,5630,8604731.00,15.296
4,2020-02-20 09:34,15.27,15.25,15.27,15.24,6596,10066303.00,15.290
5,2020-02-20 09:35,15.25,15.19,15.25,15.18,5458,8302373.00,15.279
6,2020-02-20 09:36,15.20,15.19,15.20,15.16,7218,10960781.00,15.265
7,2020-02-20 09:37,15.20,15.20,15.20,15.17,5509,8368643.00,15.258
8,2020-02-20 09:38,15.20,15.24,15.24,15.20,2818,4290104.00,15.256
9,2020-02-20 09:39,15.24,15.25,15.25,15.23,4904,7472149.00,15.255
10,2020-02-20 09:40,15.25,15.27,15.27,15.24,4981,7595315.00,15.254
11,2020-02-20 09:41,15.27,15.28,15.30,15.27,4248,6490280.00,15.256
12,2020-02-20 09:42,15.28,15.30,15.30,15.28,7229,11050589.00,15.258
13,2020-02-20 09:43,15.28,15.30,15.30,15.27,6081,9295247.00,15.260
14,2020-02-20 09:44,15.28,15.27,15.29,15.27,4666,7131335.00,15.262
15,2020-02-20 09:45,15.28,15.27,15.28,15.26,4376,6682301.00,15.262
16,2020-02-20 09:46,15.26,15.27,15.28,15.26,3170,4839942.00,15.262
17,2020-02-20 09:47,15.27,15.28,15.28,15.26,1913,2921043.00,15.262
18,2020-02-20 09:48,15.27,15.26,15.28,15.26,3068,4683054.00,15.262
19,2020-02-20 09:49,15.27,15.28,15.28,15.26,3610,5512995.00,15.263
20,2020-02-20 09:50,15.28,15.29,15.29,15.28,8627,13182872.00,15.264
21,2020-02-20 09:51,15.29,15.28,15.29,15.27,5079,7762300.00,15.265
22,2020-02-20 09:52,15.27,15.27,15.28,15.27,2651,4049728.00,15.265
23,2020-02-20 09:53,15.27,15.28,15.28,15.27,2075,3170168.00,15.265
24,2020-02-20 09:54,15.28,15.29,15.30,15.27,4212,6438452.00,15.266
25,2020-02-20 09:55,15.29,15.29,15.30,15.29,7354,11242757.00,15.267
26,2020-02-20 09:56,15.29,15.27,15.29,15.27,8094,12365681.00,15.268
27,2020-02-20 09:57,15.27,15.27,15.28,15.27,4606,7034337.00,15.268
28,2020-02-20 09:58,15.28,15.26,15.28,15.25,8984,13712979.00,15.268
29,2020-02-20 09:59,15.26,15.26,15.27,15.25,2794,4264362.00,15.268
30,2020-02-20 10:00,15.25,15.26,15.27,15.25,2682,4092102.00,15.268
31,2020-02-20 10:01,15.25,15.26,15.26,15.25,2567,3915487.00,15.267
32,2020-02-20 10:02,15.26,15.22,15.26,15.21,8763,13352382.00,15.266
33,2020-02-20 10:03,15.21,15.23,15.23,15.21,3162,4814085.00,15.265
34,2020-02-20 10:04,15.24,15.23,15.24,15.22,2699,4109412.00,15.264
35,2020-02-20 10:05,15.23,15.23,15.23,15.21,2311,3517704.00,15.264
36,2020-02-20 10:06,15.24,15.23,15.24,15.22,1277,1944976.00,15.264
37,2020-02-20 10:07,15.24,15.25,15.25,15.22,2732,4162076.00,15.263
38,2020-02-20 10:08,15.25,15.24,15.25,15.23,1630,2484389.00,15.263
39,2020-02-20 10:09,15.24,15.23,15.24,15.23,1757,2676580.00,15.263
40,2020-02-20 10:10,15.24,15.23,15.24,15.23,2121,3231321.00,15.262
41,2020-02-20 10:11,15.24,15.23,15.24,15.22,1758,2677388.00,15.262
42,2020-02-20 10:12,15.22,15.23,15.24,15.22,2666,4060062.00,15.262
43,2020-02-20 10:13,15.23,15.22,15.23,15.21,3801,5785119.00,15.261
44,2020-02-20 10:14,15.22,15.21,15.23,15.21,2190,3332273.00,15.260
45,2020-02-20 10:15,15.21,15.21,15.23,15.21,2609,3971238.00,15.260
46,2020-02-20 10:16,15.21,15.20,15.22,15.20,3287,4999867.00,15.259
47,2020-02-20 10:17,15.21,15.20,15.21,15.20,1419,2157400.00,15.259
48,2020-02-20 10:18,15.21,15.20,15.21,15.19,5950,9041558.00,15.257
49,2020-02-20 10:19,15.19,15.20,15.20,15.19,1557,2364463.00,15.257
50,2020-02-20 10:20,15.20,15.20,15.20,15.19,2428,3688711.00,15.256
51,2020-02-20 10:21,15.20,15.19,15.20,15.19,2444,3712661.00,15.255
52,2020-02-20 10:22,15.19,15.17,15.19,15.17,5276,8008736.00,15.253
53,2020-02-20 10:23,15.17,15.18,15.18,15.17,2460,3732409.00,15.252
54,2020-02-20 10:24,15.17,15.16,15.19,15.15,9508,14422283.00,15.249
55,2020-02-20 10:25,15.16,15.14,15.17,15.14,4894,7416398.00,15.247
56,2020-02-20 10:26,15.15,15.15,15.16,15.14,3862,5851427.00,15.246
57,2020-02-20 10:27,15.15,15.14,15.16,15.14,4584,6943632.00,15.244
58,2020-02-20 10:28,15.15,15.17,15.17,15.15,3151,4775837.00,15.243
59,2020-02-20 10:29,15.18,15.16,15.18,15.16,1705,2586747.00,15.242
60,2020-02-20 10:30,15.16,15.16,15.17,15.15,3338,5059852.00,15.241
61,2020-02-20 10:31,15.17,15.15,15.18,15.15,2831,4294380.00,15.240
62,2020-02-20 10:32,15.17,15.16,15.17,15.16,1538,2332528.00,15.240
63,2020-02-20 10:33,15.17,15.15,15.17,15.15,2454,3720699.00,15.239
64,2020-02-20 10:34,15.16,15.14,15.16,15.14,6952,10532535.00,15.237
65,2020-02-20 10:35,15.15,15.15,15.16,15.15,1864,2824208.00,15.236
66,2020-02-20 10:36,15.15,15.15,15.15,15.14,2553,3867126.00,15.236
67,2020-02-20 10:37,15.14,15.13,15.14,15.13,3697,5595779.00,15.234
68,2020-02-20 10:38,15.14,15.13,15.14,15.12,3430,5190965.00,15.233
69,2020-02-20 10:39,15.12,15.12,15.13,15.10,10087,15242369.00,15.229
70,2020-02-20 10:40,15.12,15.13,15.13,15.11,2538,3837390.00,15.228
71,2020-02-20 10:41,15.12,15.13,15.15,15.12,2460,3723565.00,15.227
72,2020-02-20 10:42,15.15,15.15,15.15,15.14,2095,3173554.00,15.227
73,2020-02-20 10:43,15.15,15.17,15.17,15.14,2553,3867664.00,15.226
74,2020-02-20 10:44,15.17,15.16,15.17,15.15,4338,6576238.00,15.225
75,2020-02-20 10:45,15.15,15.13,15.15,15.13,3919,5935396.00,15.224
76,2020-02-20 10:46,15.13,15.12,15.15,15.12,2681,4055279.00,15.223
77,2020-02-20 10:47,15.13,15.15,15.16,15.12,2958,4478119.00,15.223
78,2020-02-20 10:48,15.16,15.17,15.18,15.16,4064,6164690.00,15.222
79,2020-02-20 10:49,15.17,15.16,15.17,15.15,2597,3936909.00,15.221
80,2020-02-20 10:50,15.15,15.15,15.16,15.15,1350,2045319.00,15.221
81,2020-02-20 10:51,15.16,15.18,15.18,15.15,2682,4066242.00,15.221
82,2020-02-20 10:52,15.18,15.18,15.19,15.16,3382,5127581.00,15.220
83,2020-02-20 10:53,15.18,15.16,15.18,15.14,2112,3201830.00,15.220
84,2020-02-20 10:54,15.18,15.19,15.19,15.16,2101,3188324.00,15.219
85,2020-02-20 10:55,15.18,15.18,15.19,15.18,1304,1980267.00,15.219
86,2020-02-20 10:56,15.19,15.19,15.19,15.18,1807,2743691.00,15.219
87,2020-02-20 10:57,15.18,15.20,15.20,15.18,3773,5727673.00,15.219
88,2020-02-20 10:58,15.19,15.18,15.20,15.16,1403,2130515.00,15.218
89,2020-02-20 10:59,15.18,15.17,15.18,15.16,1791,2716564.00,15.218
90,2020-02-20 11:00,15.17,15.16,15.18,15.16,1519,2304489.00,15.218
91,2020-02-20 11:01,15.17,15.17,15.18,15.16,1782,2702846.00,15.218
92,2020-02-20 11:02,15.17,15.20,15.20,15.16,1784,2706812.00,15.218
93,2020-02-20 11:03,15.20,15.20,15.20,15.16,1788,2714763.00,15.217
94,2020-02-20 11:04,15.19,15.18,15.20,15.18,1208,1834854.00,15.217
95,2020-02-20 11:05,15.19,15.18,15.20,15.18,1669,2534370.00,15.217
96,2020-02-20 11:06,15.19,15.18,15.19,15.17,1744,2647039.00,15.217
97,2020-02-20 11:07,15.16,15.18,15.18,15.16,1601,2428381.00,15.217
98,2020-02-20 11:08,15.16,15.18,15.18,15.16,1151,1746268.00,15.217
99,2020-02-20 11:09,15.18,15.18,15.18,15.17,830,1259663.00,15.216
100,2020-02-20 11:10,15.18,15.17,15.18,15.16,1635,2479624.00,15.216
101,2020-02-20 11:11,15.17,15.14,15.17,15.13,3784,5732533.00,15.216
102,2020-02-20 11:12,15.13,15.16,15.16,15.13,3007,4550313.00,15.215
103,2020-02-20 11:13,15.16,15.16,15.17,15.14,1733,2626183.00,15.215
104,2020-02-20 11:14,15.16,15.14,15.16,15.14,1452,2199733.00,15.214
105,2020-02-20 11:15,15.15,15.13,15.15,15.13,1450,2195479.00,15.214
106,2020-02-20 11:16,15.14,15.14,15.14,15.13,2596,3928459.00,15.214
107,2020-02-20 11:17,15.14,15.14,15.15,15.13,2927,4430922.00,15.213
108,2020-02-20 11:18,15.14,15.15,15.16,15.13,1785,2702994.00,15.213
109,2020-02-20 11:19,15.14,15.14,15.15,15.14,3501,5301733.00,15.212
110,2020-02-20 11:20,15.14,15.16,15.18,15.14,2091,3168236.00,15.212
111,2020-02-20 11:21,15.16,15.15,15.18,15.14,3008,4559530.00,15.211
112,2020-02-20 11:22,15.16,15.16,15.18,15.15,2136,3237546.00,15.211
113,2020-02-20 11:23,15.18,15.15,15.18,15.15,1359,2061412.00,15.211
114,2020-02-20 11:24,15.15,15.16,15.16,15.15,1659,2514359.00,15.211
115,2020-02-20 11:25,15.17,15.18,15.18,15.17,1081,1640542.00,15.210
116,2020-02-20 11:26,15.18,15.17,15.18,15.16,1740,2638368.00,15.210
117,2020-02-20 11:27,15.17,15.18,15.19,15.17,1577,2393479.00,15.210
118,2020-02-20 11:28,15.18,15.15,15.18,15.15,2268,3439503.00,15.210
119,2020-02-20 11:29,15.15,15.18,15.18,15.15,1773,2688600.00,15.210
120,2020-02-20 11:30,15.18,15.18,15.18,15.17,1425,2162921.00,15.210
